id,category,query1,query2,label
0,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血是什么原因？,1
2,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，应该怎么处理？,0
3,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，需要就医吗？,0
4,咳血,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，是否很严重？,0
5,咳血,百令胶囊需要注意什么？,百令胶囊有什么注意事项？,1
7,咳血,百令胶囊需要注意什么？,百令胶囊如何服用？,0
9,咳血,百令胶囊需要注意什么？,百令胶囊需要如何服用？,0
10,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少寿命？,1
11,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期还有多少时间？,1
13,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期该怎么办？,0
14,咳血,肝癌兼肺癌晚期能活多久？,肝癌兼肺癌晚期能治好吗？,0
15,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是怎么回事？,1
16,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么情况？,1
18,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年怎么处理？,0
19,咳血,咳嗽咯血半年是什么病？,咳嗽咯血半年是什么原因导致的？,0
20,咳血,百令胶囊能长期服用吗?,百令胶囊是否可以长时间服用?,1
21,咳血,百令胶囊能长期服用吗?,百令胶囊长时间服用会有问题吗?,1
22,咳血,百令胶囊能长期服用吗?,百令胶囊能和其他药物一起服用吗?,0
23,咳血,百令胶囊能长期服用吗?,百令胶囊怎么服用?,0
25,咳血,我国最常见的咯血原因是什么?,我国主要的咯血原因是什么?,1
26,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么导致的?,1
27,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血有哪些?,0
28,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血的种类有多少?,0
29,咳血,我国最常见的咯血原因是什么?,我国最常见的咯血是什么?,0
30,咳血,大咯血的处理原则是什么?,大咯血该怎么处理?,1
31,咳血,大咯血的处理原则是什么?,如何处理大咯血?,1
32,咳血,大咯血的处理原则是什么?,大咯血是什么情况?,0
33,咳血,大咯血的处理原则是什么?,大咯血的什么病?,0
34,咳血,大咯血的处理原则是什么?,大咯血的原因是什么?,0
35,咳血,咯血的话应该怎么抢救？,咯血的话应该怎么处理？,1
36,咳血,咯血的话应该怎么抢救？,咯血的话应该如何进行抢救？,1
37,咳血,咯血的话应该怎么抢救？,咯血的话应该去医院吗？,0
38,咳血,咯血的话应该怎么抢救？,咯血的话是什么原因造成的？,0
39,咳血,咯血的话应该怎么抢救？,咯血的话应该如何预防？,0
40,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是什么病症？,1
42,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血是病吗？,0
43,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血需要去看病吗？,0
44,咳血,请问无痰无咳嗽咯血这是什么病？,请问无痰无咳嗽咯血这种病严重吗？,0
46,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌是如何导致咯血的？,1
47,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌会造成咯血吗？,0
48,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血应该如何治疗？,0
49,咳血,请问肺癌造成咯血的原因是什么?,请问肺癌造成的咯血严重吗？,0
50,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血有什么治疗的方法？,1
51,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血该怎么治疗？,1
54,咳血,请问老人两年经常咯痰咯血有什么办法？,请问老人两年经常咯痰咯血是什么原因呢？,0
55,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎会造成咯血吗？,1
56,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎是否会导致咯血？,1
57,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血怎么办？,0
58,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血该怎么治疗？,0
59,咳血,肺部感染支气管炎会咯血吗？,肺部感染支气管炎咯血吃什么药？,0
60,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是说明变好了？,1
61,咳血,肺癌不咯血是不是情况好转了？,肺癌不咯血是不是情况好转了？,1
62,咳血,肺癌不咯血是不是情况好转了？,肺癌会不会咯血？,0
63,咳血,肺癌不咯血是不是情况好转了？,肺癌会导致咯血的情况吗？,0
64,咳血,肺癌不咯血是不是情况好转了？,肺癌和咯血有关系吗？,0
65,咳血,急性大咯血的症状有哪些？,急性大咯血会有什么症状呢？,1
66,咳血,急性大咯血的症状有哪些？,急性大咯血会出现什么样的症状？,1
68,咳血,急性大咯血的症状有哪些？,急性大咯血有哪些治疗方法？,0
69,咳血,急性大咯血的症状有哪些？,急性大咯血的原因是什么？,0
70,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊什么时候吃比较好？,1
72,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊有副作用吗？,0
73,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊效果好不好？,0
74,咳血,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊可以和其他药一起吃吗？,0
75,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿服用百令胶囊可以吗？,1
76,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿是否可以吃百令胶囊？,1
78,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿吃什么药好？,0
79,咳血,肾囊肿可以服用百令胶囊吗？,肾囊肿可以治疗吗？,0
82,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些副作用？,0
83,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸适应孕妇服用吗？,0
84,咳血,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些注意事项？,0
85,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏是怎么使用的？,1
86,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏如何服用？,1
87,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏适合儿童服用吗？,0
88,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏有什么副作用呢？,0
89,咳血,达仁堂益肺清化膏的用法用量是怎么样的？,达仁堂益肺清化膏的效果怎么样？,0
92,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊是苦的还是咸的？,0
93,咳血,你好百令胶囊是苦的还是咸的？,您好百令胶囊怎么服用?,0
94,咳血,你好百令胶囊是苦的还是咸的？,你好百令胶囊的效果怎么样？,0
96,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道怎么服用百令胶囊？,1
99,咳血,你好我想知道百令胶囊是怎么吃的？,你好我想知道百令胶囊感冒的时候可以吃吗？,0
100,咳血,请问百令胶囊一天吃多少？,请问百令胶囊一天需要服用多少呢？,1
101,咳血,请问百令胶囊一天吃多少？,请问百令胶囊是一日三次吗？,1
102,咳血,请问百令胶囊一天吃多少？,请问百令胶囊的效果怎么样？,0
103,咳血,请问百令胶囊一天吃多少？,请问百令胶囊是苦的还是咸的？,0
104,咳血,请问百令胶囊一天吃多少？,请问百令胶囊的注意事项是什么？,0
105,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊会不会产生发烧的副作用？,1
106,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊是不是会有发烧的不良反应？,1
107,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊有什么作用？,0
108,咳血,康尔佳益肺止咳胶囊发烧了是不是副作用？,康尔佳益肺止咳胶囊可以治疗发烧吗？,0
111,咳血,立效止嗽立效丸药店比医院的便宜吗？,药店的立效止嗽立效丸的价格比医院的便宜一些吗？,1
112,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸是在医院购买吗？,0
113,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸药店有卖吗？,0
114,咳血,立效止嗽立效丸药店比医院的便宜吗？,立效止嗽立效丸效果？,0
115,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒多少钱？,1
116,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒需要多少钱？,1
117,咳血,抑扶健脾益肾颗粒的价格是多少？,抑扶健脾益肾颗粒的用量是多少？,0
