id,query1,query2,label
0,剧烈运动后咯血是什么原因？,剧烈运动后为什么会咯血？,1
1,百令胶囊有什么注意事项？,服用百令胶囊有什么需要特别注意的吗？,1
2,肝癌兼肺癌晚期还有多少寿命？,肝癌兼肺癌晚期还有多少时间？,1
3,咳嗽咯血半年是怎么回事？,咳嗽咯血半年是什么情况？,1
4,百令胶囊是否可以长时间服用?,百令胶囊长时间服用会有问题吗?,1
5,我国主要的咯血原因是什么?,我国最常见的咯血是什么导致的?,1
6,大咯血该怎么处理?,如何处理大咯血?,1
7,咯血的话应该怎么处理？,咯血的话应该如何进行抢救？,1
8,请问无痰无咳嗽咯血是什么病症？,请问无痰无咳嗽咯血是哪一种病呢？,1
9,请问为什么肺癌会造成咯血呢?,请问肺癌是如何导致咯血的？,1
10,请问老人两年经常咯痰咯血有什么治疗的方法？,请问老人两年经常咯痰咯血该怎么治疗？,1
11,肺部感染支气管炎会造成咯血吗？,肺部感染支气管炎是否会导致咯血？,1
12,肺癌不咯血是不是说明变好了？,肺癌不咯血是不是情况好转了？,1
13,急性大咯血会有什么症状呢？,急性大咯血会出现什么样的症状？,1
14,请问鸦胆子油软胶囊什么时候吃比较好？,请问鸦胆子油软胶囊适合饭前吃吗？,1
15,肾囊肿服用百令胶囊可以吗？,肾囊肿是否可以吃百令胶囊？,1
16,同仁堂百补增力丸适合什么样的症状？,同仁堂百补增力丸的效果好吗？,1
17,达仁堂益肺清化膏是怎么使用的？,达仁堂益肺清化膏如何服用？,1
18,你好百令胶囊是味道是怎样的？,你好百令胶囊味道好吗，苦还是咸？,1
19,你好我想知道百令胶囊是如何服用的呢？,你好我想知道怎么服用百令胶囊？,1
20,请问百令胶囊一天需要服用多少呢？,请问百令胶囊是一日三次吗？,1
21,康尔佳益肺止咳胶囊会不会产生发烧的副作用？,康尔佳益肺止咳胶囊是不是会有发烧的不良反应？,1
22,立效止嗽立效丸在药店买比医院更便宜吗？,药店的立效止嗽立效丸的价格比医院的便宜一些吗？,1
