id,query1,query2
0,剧烈运动后咯血，应该怎么处理？,剧烈运动后咯血，需要就医吗？
1,剧烈运动后咯血，应该怎么处理？,剧烈运动后咯血，是否很严重？
2,剧烈运动后咯血，需要就医吗？,剧烈运动后咯血，是否很严重？
3,百令胶囊如何服用？,百令胶囊效果好吗？
4,百令胶囊如何服用？,百令胶囊需要如何服用？
5,百令胶囊效果好吗？,百令胶囊需要如何服用？
6,肝癌兼肺癌晚期能治疗吗？,肝癌兼肺癌晚期该怎么办？
7,肝癌兼肺癌晚期能治疗吗？,肝癌兼肺癌晚期能治好吗？
8,肝癌兼肺癌晚期该怎么办？,肝癌兼肺癌晚期能治好吗？
9,咳嗽咯血半年需要治病吗？,咳嗽咯血半年怎么处理？
10,咳嗽咯血半年需要治病吗？,咳嗽咯血半年是什么原因导致的？
11,咳嗽咯血半年怎么处理？,咳嗽咯血半年是什么原因导致的？
12,百令胶囊能和其他药物一起服用吗?,百令胶囊怎么服用?
13,百令胶囊能和其他药物一起服用吗?,百令胶囊的服用方法是什么?
14,百令胶囊怎么服用?,百令胶囊的服用方法是什么?
15,我国最常见的咯血有哪些?,我国最常见的咯血的种类有多少?
16,我国最常见的咯血有哪些?,我国最常见的咯血是什么?
17,我国最常见的咯血的种类有多少?,我国最常见的咯血是什么?
18,大咯血是什么情况?,大咯血的什么病?
19,大咯血是什么情况?,大咯血的原因是什么?
20,大咯血的什么病?,大咯血的原因是什么?
21,咯血的话应该去医院吗？,咯血的话是什么原因造成的？
22,咯血的话应该去医院吗？,咯血的话应该如何预防？
23,咯血的话是什么原因造成的？,咯血的话应该如何预防？
24,请问无痰无咳嗽咯血是病吗？,请问无痰无咳嗽咯血需要去看病吗？
25,请问无痰无咳嗽咯血是病吗？,请问无痰无咳嗽咯血这种病严重吗？
26,请问无痰无咳嗽咯血需要去看病吗？,请问无痰无咳嗽咯血这种病严重吗？
27,请问肺癌会造成咯血吗？,请问肺癌造成的咯血应该如何治疗？
28,请问肺癌会造成咯血吗？,请问肺癌造成的咯血严重吗？
29,请问肺癌造成的咯血应该如何治疗？,请问肺癌造成的咯血严重吗？
30,请问老人两年经常咯痰咯血需要治疗吗？,请问老人两年经常咯痰咯血严重吗？
31,请问老人两年经常咯痰咯血需要治疗吗？,请问老人两年经常咯痰咯血是什么原因呢？
32,请问老人两年经常咯痰咯血严重吗？,请问老人两年经常咯痰咯血是什么原因呢？
33,肺部感染支气管炎咯血怎么办？,肺部感染支气管炎咯血该怎么治疗？
34,肺部感染支气管炎咯血怎么办？,肺部感染支气管炎咯血吃什么药？
35,肺部感染支气管炎咯血该怎么治疗？,肺部感染支气管炎咯血吃什么药？
36,肺癌会不会咯血？,肺癌会导致咯血的情况吗？
37,肺癌会不会咯血？,肺癌和咯血有关系吗？
38,肺癌会导致咯血的情况吗？,肺癌和咯血有关系吗？
39,急性大咯血的种类有哪些？,急性大咯血有哪些治疗方法？
40,急性大咯血的种类有哪些？,急性大咯血的原因是什么？
41,急性大咯血有哪些治疗方法？,急性大咯血的原因是什么？
42,请问鸦胆子油软胶囊有副作用吗？,请问鸦胆子油软胶囊效果好不好？
43,请问鸦胆子油软胶囊有副作用吗？,请问鸦胆子油软胶囊可以和其他药一起吃吗？
44,请问鸦胆子油软胶囊效果好不好？,请问鸦胆子油软胶囊可以和其他药一起吃吗？
45,肾囊肿可以服用感冒药吗？,肾囊肿吃什么药好？
46,肾囊肿可以服用感冒药吗？,肾囊肿可以治疗吗？
47,肾囊肿吃什么药好？,肾囊肿可以治疗吗？
48,同仁堂百补增力丸有哪些副作用？,同仁堂百补增力丸适应孕妇服用吗？
49,同仁堂百补增力丸有哪些副作用？,同仁堂百补增力丸有哪些注意事项？
50,同仁堂百补增力丸适应孕妇服用吗？,同仁堂百补增力丸有哪些注意事项？
51,达仁堂益肺清化膏适合儿童服用吗？,达仁堂益肺清化膏有什么副作用呢？
52,达仁堂益肺清化膏适合儿童服用吗？,达仁堂益肺清化膏的效果怎么样？
53,达仁堂益肺清化膏有什么副作用呢？,达仁堂益肺清化膏的效果怎么样？
54,你好百令胶囊是苦的还是咸的？,您好百令胶囊怎么服用?
55,你好百令胶囊是苦的还是咸的？,你好百令胶囊的效果怎么样？
56,您好百令胶囊怎么服用?,你好百令胶囊的效果怎么样？
57,你好我想知道百令胶囊适应什么样的症状？,你好我想知道百令胶囊可以和其他药物一起吃吗？
58,你好我想知道百令胶囊适应什么样的症状？,你好我想知道百令胶囊感冒的时候可以吃吗？
59,你好我想知道百令胶囊可以和其他药物一起吃吗？,你好我想知道百令胶囊感冒的时候可以吃吗？
60,请问百令胶囊的效果怎么样？,请问百令胶囊是苦的还是咸的？
61,请问百令胶囊的效果怎么样？,请问百令胶囊的注意事项是什么？
62,请问百令胶囊是苦的还是咸的？,请问百令胶囊的注意事项是什么？
63,康尔佳益肺止咳胶囊有什么作用？,康尔佳益肺止咳胶囊可以治疗发烧吗？
64,康尔佳益肺止咳胶囊有什么作用？,康尔佳益肺止咳胶囊怎么服用？
